ID;ROW_NUMBER;PURCHASING_ORGANIZATION;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;VENDOR_CODE;VENDOR_NAME;NET_PRICE;CURRENCY
.1~1349;1349;B5;04;03;04/03;02/02/2021 00:00;7;33;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1350;1350;B5;04;03;04/03;02/02/2021 00:00;7;33;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1351;1351;B5;04;03;04/03;02/02/2021 00:00;7;33;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1352;1352;B5;04;03;04/03;02/02/2021 00:00;7;33;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1353;1353;B5;04;03;04/03;02/02/2021 00:00;7;33;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~1354;1354;B5;04;03;04/03;02/02/2021 00:00;7;33;BB-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~1355;1355;B5;04;03;04/03;02/02/2021 00:00;7;33;BB-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~1356;1356;B5;04;03;04/03;02/02/2021 00:00;7;33;BB-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~1357;1357;B5;04;04;04/04;03/02/2021 00:00;7;34;BB-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~1358;1358;B5;04;04;04/04;03/02/2021 00:00;7;34;BB-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~1359;1359;B5;04;04;04/04;03/02/2021 00:00;7;34;BB-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~1360;1360;B5;04;04;04/04;03/02/2021 00:00;7;34;BB-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~1361;1361;B5;04;04;04/04;03/02/2021 00:00;7;34;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1362;1362;B5;04;04;04/04;03/02/2021 00:00;7;34;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1363;1363;B5;04;04;04/04;03/02/2021 00:00;7;34;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1364;1364;B5;04;04;04/04;03/02/2021 00:00;7;34;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1365;1365;B5;04;04;04/04;03/02/2021 00:00;7;34;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~1366;1366;B5;04;04;04/04;03/02/2021 00:00;7;34;BB-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~1367;1367;B5;04;04;04/04;03/02/2021 00:00;7;34;BB-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~1368;1368;B5;04;04;04/04;03/02/2021 00:00;7;34;BB-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~1369;1369;B5;04;05;04/05;04/02/2021 00:00;7;35;BB-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~1370;1370;B5;04;05;04/05;04/02/2021 00:00;7;35;BB-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~1371;1371;B5;04;05;04/05;04/02/2021 00:00;7;35;BB-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~1372;1372;B5;04;05;04/05;04/02/2021 00:00;7;35;BB-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~1373;1373;B5;04;05;04/05;04/02/2021 00:00;7;35;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1374;1374;B5;04;05;04/05;04/02/2021 00:00;7;35;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1375;1375;B5;04;05;04/05;04/02/2021 00:00;7;35;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1376;1376;B5;04;05;04/05;04/02/2021 00:00;7;35;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1377;1377;B5;04;05;04/05;04/02/2021 00:00;7;35;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~1378;1378;B5;04;05;04/05;04/02/2021 00:00;7;35;BB-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~1379;1379;B5;04;05;04/05;04/02/2021 00:00;7;35;BB-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~1380;1380;B5;04;05;04/05;04/02/2021 00:00;7;35;BB-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~1381;1381;B5;04;06;04/06;05/02/2021 00:00;8;36;BB-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~1382;1382;B5;04;06;04/06;05/02/2021 00:00;8;36;BB-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~1383;1383;B5;04;06;04/06;05/02/2021 00:00;8;36;BB-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~1384;1384;B5;04;06;04/06;05/02/2021 00:00;8;36;BB-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~1385;1385;B5;04;06;04/06;05/02/2021 00:00;8;36;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1386;1386;B5;04;06;04/06;05/02/2021 00:00;8;36;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1387;1387;B5;04;06;04/06;05/02/2021 00:00;8;36;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1388;1388;B5;04;06;04/06;05/02/2021 00:00;8;36;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1389;1389;B5;04;06;04/06;05/02/2021 00:00;8;36;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~1390;1390;B5;04;06;04/06;05/02/2021 00:00;8;36;BB-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~1391;1391;B5;04;06;04/06;05/02/2021 00:00;8;36;BB-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~1392;1392;B5;04;06;04/06;05/02/2021 00:00;8;36;BB-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~1393;1393;B5;04;07;04/07;06/02/2021 00:00;8;37;BB-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~1394;1394;B5;04;07;04/07;06/02/2021 00:00;8;37;BB-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~1395;1395;B5;04;07;04/07;06/02/2021 00:00;8;37;BB-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~1396;1396;B5;04;07;04/07;06/02/2021 00:00;8;37;BB-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~1397;1397;B5;04;07;04/07;06/02/2021 00:00;8;37;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1398;1398;B5;04;07;04/07;06/02/2021 00:00;8;37;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1399;1399;B5;04;07;04/07;06/02/2021 00:00;8;37;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1400;1400;B5;04;07;04/07;06/02/2021 00:00;8;37;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1401;1401;B5;04;07;04/07;06/02/2021 00:00;8;37;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~1402;1402;B5;04;07;04/07;06/02/2021 00:00;8;37;BB-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~1403;1403;B5;04;07;04/07;06/02/2021 00:00;8;37;BB-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~1404;1404;B5;04;07;04/07;06/02/2021 00:00;8;37;BB-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~1405;1405;B5;04;08;04/08;07/02/2021 00:00;8;38;BB-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~1406;1406;B5;04;08;04/08;07/02/2021 00:00;8;38;BB-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~1407;1407;B5;04;08;04/08;07/02/2021 00:00;8;38;BB-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~1408;1408;B5;04;08;04/08;07/02/2021 00:00;8;38;BB-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~1409;1409;B5;04;08;04/08;07/02/2021 00:00;8;38;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1410;1410;B5;04;08;04/08;07/02/2021 00:00;8;38;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1411;1411;B5;04;08;04/08;07/02/2021 00:00;8;38;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1412;1412;B5;04;08;04/08;07/02/2021 00:00;8;38;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1413;1413;B5;04;08;04/08;07/02/2021 00:00;8;38;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~1414;1414;B5;04;08;04/08;07/02/2021 00:00;8;38;BB-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~1415;1415;B5;04;08;04/08;07/02/2021 00:00;8;38;BB-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~1416;1416;B5;04;08;04/08;07/02/2021 00:00;8;38;BB-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~1417;1417;B5;04;09;04/09;08/02/2021 00:00;8;39;BB-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~1418;1418;B5;04;09;04/09;08/02/2021 00:00;8;39;BB-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~1419;1419;B5;04;09;04/09;08/02/2021 00:00;8;39;BB-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~1420;1420;B5;04;09;04/09;08/02/2021 00:00;8;39;BB-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~1421;1421;B5;04;09;04/09;08/02/2021 00:00;8;39;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1422;1422;B5;04;09;04/09;08/02/2021 00:00;8;39;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1423;1423;B5;04;09;04/09;08/02/2021 00:00;8;39;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1424;1424;B5;04;09;04/09;08/02/2021 00:00;8;39;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1425;1425;B5;04;09;04/09;08/02/2021 00:00;8;39;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~1426;1426;B5;04;09;04/09;08/02/2021 00:00;8;39;BB-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~1427;1427;B5;04;09;04/09;08/02/2021 00:00;8;39;BB-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~1428;1428;B5;04;09;04/09;08/02/2021 00:00;8;39;BB-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~1429;1429;B5;04;10;04/10;09/02/2021 00:00;8;40;BB-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~1430;1430;B5;04;10;04/10;09/02/2021 00:00;8;40;BB-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~1431;1431;B5;04;10;04/10;09/02/2021 00:00;8;40;BB-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~1432;1432;B5;04;10;04/10;09/02/2021 00:00;8;40;BB-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~1433;1433;B5;04;10;04/10;09/02/2021 00:00;8;40;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1434;1434;B5;04;10;04/10;09/02/2021 00:00;8;40;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1435;1435;B5;04;10;04/10;09/02/2021 00:00;8;40;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1436;1436;B5;04;10;04/10;09/02/2021 00:00;8;40;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1437;1437;B5;04;10;04/10;09/02/2021 00:00;8;40;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~1438;1438;B5;04;10;04/10;09/02/2021 00:00;8;40;BB-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~1439;1439;B5;04;10;04/10;09/02/2021 00:00;8;40;BB-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~1440;1440;B5;04;10;04/10;09/02/2021 00:00;8;40;BB-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~1441;1441;B5;05;01;05/01;10/02/2021 00:00;9;41;BB-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~1442;1442;B5;05;01;05/01;10/02/2021 00:00;9;41;BB-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~1443;1443;B5;05;01;05/01;10/02/2021 00:00;9;41;BB-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~1444;1444;B5;05;01;05/01;10/02/2021 00:00;9;41;BB-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~1445;1445;B5;05;01;05/01;10/02/2021 00:00;9;41;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1446;1446;B5;05;01;05/01;10/02/2021 00:00;9;41;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1447;1447;B5;05;01;05/01;10/02/2021 00:00;9;41;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1448;1448;B5;05;01;05/01;10/02/2021 00:00;9;41;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1449;1449;B5;05;01;05/01;10/02/2021 00:00;9;41;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~1450;1450;B5;05;01;05/01;10/02/2021 00:00;9;41;BB-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~1451;1451;B5;05;01;05/01;10/02/2021 00:00;9;41;BB-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~1452;1452;B5;05;01;05/01;10/02/2021 00:00;9;41;BB-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~1453;1453;B5;05;02;05/02;11/02/2021 00:00;9;42;BB-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~1454;1454;B5;05;02;05/02;11/02/2021 00:00;9;42;BB-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~1455;1455;B5;05;02;05/02;11/02/2021 00:00;9;42;BB-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~1456;1456;B5;05;02;05/02;11/02/2021 00:00;9;42;BB-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~1457;1457;B5;05;02;05/02;11/02/2021 00:00;9;42;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1458;1458;B5;05;02;05/02;11/02/2021 00:00;9;42;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1459;1459;B5;05;02;05/02;11/02/2021 00:00;9;42;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1460;1460;B5;05;02;05/02;11/02/2021 00:00;9;42;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1461;1461;B5;05;02;05/02;11/02/2021 00:00;9;42;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~1462;1462;B5;05;02;05/02;11/02/2021 00:00;9;42;BB-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~1463;1463;B5;05;02;05/02;11/02/2021 00:00;9;42;BB-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~1464;1464;B5;05;02;05/02;11/02/2021 00:00;9;42;BB-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~1465;1465;B5;05;03;05/03;12/02/2021 00:00;9;43;BB-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~1466;1466;B5;05;03;05/03;12/02/2021 00:00;9;43;BB-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~1467;1467;B5;05;03;05/03;12/02/2021 00:00;9;43;BB-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~1468;1468;B5;05;03;05/03;12/02/2021 00:00;9;43;BB-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~1469;1469;B5;05;03;05/03;12/02/2021 00:00;9;43;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1470;1470;B5;05;03;05/03;12/02/2021 00:00;9;43;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1471;1471;B5;05;03;05/03;12/02/2021 00:00;9;43;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1472;1472;B5;05;03;05/03;12/02/2021 00:00;9;43;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1473;1473;B5;05;03;05/03;12/02/2021 00:00;9;43;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~1474;1474;B5;05;03;05/03;12/02/2021 00:00;9;43;BB-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~1475;1475;B5;05;03;05/03;12/02/2021 00:00;9;43;BB-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~1476;1476;B5;05;03;05/03;12/02/2021 00:00;9;43;BB-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~1477;1477;B5;05;04;05/04;13/02/2021 00:00;9;44;BB-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~1478;1478;B5;05;04;05/04;13/02/2021 00:00;9;44;BB-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~1479;1479;B5;05;04;05/04;13/02/2021 00:00;9;44;BB-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~1480;1480;B5;05;04;05/04;13/02/2021 00:00;9;44;BB-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~1481;1481;B5;05;04;05/04;13/02/2021 00:00;9;44;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1482;1482;B5;05;04;05/04;13/02/2021 00:00;9;44;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1483;1483;B5;05;04;05/04;13/02/2021 00:00;9;44;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1484;1484;B5;05;04;05/04;13/02/2021 00:00;9;44;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1485;1485;B5;05;04;05/04;13/02/2021 00:00;9;44;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~1486;1486;B5;05;04;05/04;13/02/2021 00:00;9;44;BB-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~1487;1487;B5;05;04;05/04;13/02/2021 00:00;9;44;BB-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~1488;1488;B5;05;04;05/04;13/02/2021 00:00;9;44;BB-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~1489;1489;B5;05;05;05/05;14/02/2021 00:00;9;45;BB-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~1490;1490;B5;05;05;05/05;14/02/2021 00:00;9;45;BB-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~1491;1491;B5;05;05;05/05;14/02/2021 00:00;9;45;BB-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~1492;1492;B5;05;05;05/05;14/02/2021 00:00;9;45;BB-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~1493;1493;B5;05;05;05/05;14/02/2021 00:00;9;45;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1494;1494;B5;05;05;05/05;14/02/2021 00:00;9;45;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1495;1495;B5;05;05;05/05;14/02/2021 00:00;9;45;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1496;1496;B5;05;05;05/05;14/02/2021 00:00;9;45;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1497;1497;B5;05;05;05/05;14/02/2021 00:00;9;45;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~1498;1498;B5;05;05;05/05;14/02/2021 00:00;9;45;BB-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~1499;1499;B5;05;05;05/05;14/02/2021 00:00;9;45;BB-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~1500;1500;B5;05;05;05/05;14/02/2021 00:00;9;45;BB-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~1501;1501;B5;05;06;05/06;15/02/2021 00:00;10;46;BB-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~1502;1502;B5;05;06;05/06;15/02/2021 00:00;10;46;BB-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~1503;1503;B5;05;06;05/06;15/02/2021 00:00;10;46;BB-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~1504;1504;B5;05;06;05/06;15/02/2021 00:00;10;46;BB-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~1505;1505;B5;05;06;05/06;15/02/2021 00:00;10;46;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1506;1506;B5;05;06;05/06;15/02/2021 00:00;10;46;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1507;1507;B5;05;06;05/06;15/02/2021 00:00;10;46;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1508;1508;B5;05;06;05/06;15/02/2021 00:00;10;46;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1509;1509;B5;05;06;05/06;15/02/2021 00:00;10;46;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~1510;1510;B5;05;06;05/06;15/02/2021 00:00;10;46;BB-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~1511;1511;B5;05;06;05/06;15/02/2021 00:00;10;46;BB-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~1512;1512;B5;05;06;05/06;15/02/2021 00:00;10;46;BB-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~1513;1513;B5;05;07;05/07;16/02/2021 00:00;10;47;BB-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~1514;1514;B5;05;07;05/07;16/02/2021 00:00;10;47;BB-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~1515;1515;B5;05;07;05/07;16/02/2021 00:00;10;47;BB-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~1516;1516;B5;05;07;05/07;16/02/2021 00:00;10;47;BB-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~1517;1517;B5;05;07;05/07;16/02/2021 00:00;10;47;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1518;1518;B5;05;07;05/07;16/02/2021 00:00;10;47;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1519;1519;B5;05;07;05/07;16/02/2021 00:00;10;47;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1520;1520;B5;05;07;05/07;16/02/2021 00:00;10;47;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1521;1521;B5;05;07;05/07;16/02/2021 00:00;10;47;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~1522;1522;B5;05;07;05/07;16/02/2021 00:00;10;47;BB-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~1523;1523;B5;05;07;05/07;16/02/2021 00:00;10;47;BB-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~1524;1524;B5;05;07;05/07;16/02/2021 00:00;10;47;BB-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~1525;1525;B5;05;08;05/08;17/02/2021 00:00;10;48;BB-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~1526;1526;B5;05;08;05/08;17/02/2021 00:00;10;48;BB-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~1527;1527;B5;05;08;05/08;17/02/2021 00:00;10;48;BB-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~1528;1528;B5;05;08;05/08;17/02/2021 00:00;10;48;BB-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~1529;1529;B5;05;08;05/08;17/02/2021 00:00;10;48;BB-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~1530;1530;B5;05;08;05/08;17/02/2021 00:00;10;48;BB-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~1531;1531;B5;05;08;05/08;17/02/2021 00:00;10;48;BB-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~1532;1532;B5;05;08;05/08;17/02/2021 00:00;10;48;BB-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~1533;1533;B5;05;08;05/08;17/02/2021 00:00;10;48;BB-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
